gene baseMean log2FoldChange lfcSE stat pvalue padj symbol entrezid highlight
0610005C13Rik 0.2501884711946147 -1.2026851802556782 3.5626922380651598 -0.3375776238558391 0.7356815068502977 NA 0610005C13Rik 71661 No
0610009B22Rik 105.1292506820144 -0.1406211005902175 0.1887584920738146 -0.744978936021735 0.4562844537923251 0.7177419347721797 0610009B22Rik 66050 No
0610009E02Rik 4.844541454169899 0.08488544508255588 0.8910988659006019 0.09525928977225796 0.9241088776121894 0.974407263920992 0610009E02Rik 100125929 No
0610009L18Rik 4.047042523845695 -2.1890823600040026 1.0990846346054972 -1.9917322934732378 0.04640043848499869 0.16401090298477713 0610009L18Rik 66838 No
0610010K14Rik 221.35583363543043 0.008302977469318594 0.144704103930649 0.05737900476753503 0.9542432872119518 0.9849389213654961 0610010K14Rik 104457 No
0610012G03Rik 144.92285978128248 -0.1847050784241089 0.162403614961151 -1.137321225690036 0.25540402468793166 0.5183905349663301 0610012G03Rik 106264 No
0610030E20Rik 209.18530781943528 0.10258760382339467 0.13413335076238925 0.7648180205765802 0.44437991549967293 0.707990135459624 0610030E20Rik 68364 No
0610031O16Rik 0 NA NA NA NA NA 0610031O16Rik 68369 No
0610038B21Rik 3.101164889357086 0.12049239389924114 1.209626824361783 0.09961121188166004 0.9206529923064352 0.9725509713742566 0610038B21Rik 70345 No
0610039H22Rik 0.30837526104292784 -1.4843066969433936 3.295351511276197 -0.4504243908015031 0.6524044611501723 NA 0610039H22Rik 68397 No
0610039K10Rik 0.9919511763399029 1.3503114402523304 2.065002902898436 0.6539029259266584 0.5131743487644256 NA 0610039K10Rik 68386 No
0610040B10Rik 2.2838148920836874 -0.7539275477514464 1.2617355151425533 -0.5975321600313884 0.5501521420666725 NA 0610040B10Rik 67672 No
0610040F04Rik 0.5014872595496659 0.41890828764442595 2.650460904112736 0.1580511099010755 0.8744165249270401 NA 0610040F04Rik 75394 No
0610040J01Rik 0 NA NA NA NA NA 0610040J01Rik 76261 No
0610043K17Rik 2.780162419756606 2.5014770810049556 1.3137999737593407 1.9040014697573524 0.056909992766183706 0.19198126743960559 0610043K17Rik 68400 No
1110002E22Rik 0 NA NA NA NA NA 1110002E22Rik 102634333 No
1110002J07Rik 8.882199222379299 -0.5044684657893994 0.650707705414641 -0.7752612449363027 0.4381853048674552 0.7025402309427198 1110002J07Rik 68488 No
1110002L01Rik 39.59758854025679 -0.4208462074728407 0.31552826235326453 -1.333782921168762 0.18227500978058495 0.4232048083897617 1110002L01Rik 100043040 No
1110004F10Rik 671.451074955507 -0.02806072283617408 0.08394527099730291 -0.33427401571049364 0.7381727962665026 0.8890340820102287 1110004F10Rik 56372 No
1110006O24Rik 4.877699333703097 0.1773721186445394 0.8996514058653796 0.19715649582509592 0.8437050736657243 0.9406882249052974 1110006O24Rik 66123 No
1110015O18Rik 0 NA NA NA NA NA 1110015O18Rik 100503859 No
1110017D15Rik 0.2879936746564006 -1.411525952463638 3.653024910166434 -0.38639921357649 0.6992010324625108 NA 1110017D15Rik 73721 No
1110019D14Rik 10.817129805384194 -0.7712330710281168 0.5753609878889994 -1.3404333753280222 0.18010449113502755 0.4206644863158458 1110019D14Rik 76311 No
1110020A21Rik 1.1869774493092269 -0.7341957305532699 1.7131709976879823 -0.42855951422485383 0.6682438139538575 NA 1110020A21Rik 68531 No
1110025L11Rik 0 NA NA NA NA NA 1110025L11Rik 68637 No
1110028F11Rik 0 NA NA NA NA NA 1110028F11Rik 68690 No
1110028F18Rik 0 NA NA NA NA NA 1110028F18Rik 68692 No
1110032A03Rik 68.74225782748383 -0.29620232496271937 0.2377539928660251 -1.2458353333717933 0.21282485483490624 0.4655115996831028 1110032A03Rik 68721 No
1110032F04Rik 0 NA NA NA NA NA 1110032F04Rik 68725 No
1110036E04Rik 0 NA NA NA NA NA 1110036E04Rik 68697 No
1110038B12Rik 782.5976986840803 0.07881264766749609 0.07665570317785937 1.0281380823633186 0.3038848791018016 0.5719501055588996 1110038B12Rik 68763 No
1110038F14Rik 515.7704089627938 1.3767830354685873 0.09565769120057921 14.39281063748119 5.741438226887889e-47 5.619587559482715e-45 1110038F14Rik 117171 Yes
1110046J04Rik 50.16854337821503 0.4337465720829557 0.2702979755113942 1.6046978201087987 0.10856032191084833 0.30172894373791453 1110046J04Rik 68808 No
1110051M20Rik 310.27796795463365 0.0234155434814929 0.11182297076410375 0.20939833132218588 0.8341372953036538 0.9366065748910466 1110051M20Rik 228356 No
1110058D11Rik 0.1407266966019425 -0.48463850811821524 4.080472856796901 -0.11877018304654227 0.9054574319217226 NA 1110058D11Rik 68771 No
1110059E24Rik 345.6601100211058 0.2769960780146627 0.10720396269529583 2.5838231260346634 0.009771188987673617 0.047870733229132 1110059E24Rik 66206 No
1110059G10Rik 95.65977127457128 0.025034405716367288 0.19708209026123835 0.1270252699430142 0.8989203980310009 0.964554084227905 1110059G10Rik 66202 No
1110065P20Rik 131.4213534916843 -0.1421722333617816 0.17798453781322693 -0.7987897999936041 0.4244123059651932 0.6907406534988842 1110065P20Rik 68920 No
1190005I06Rik 0.9941172549744303 -0.6229906386183484 2.0468402777137715 -0.3043670018621096 0.760848304646436 NA 1190005I06Rik 68918 No
1190007I07Rik 46.13877491647666 -0.10110899187053969 0.29104816932964117 -0.34739607571976733 0.7282937811107055 0.8853501225905833 1190007I07Rik 544717 No
1190028D05Rik 2.143317131385285 -2.287969556598152 1.4726691506684813 -1.5536208900414499 0.1202748733481091 NA 1190028D05Rik 330767 No
1300002E11Rik 31.892986212328143 -0.1382033253663808 0.359120293901055 -0.38483852824106524 0.7003570519716513 0.8713136262940805 1300002E11Rik 100043489 No
1300017J02Rik 0 NA NA NA NA NA 1300017J02Rik 71775 No
1500004A13Rik 73.40690431429562 -0.41321180112198524 0.2343450895904862 -1.7632620416500528 0.07785630416721415 0.24024559455087033 1500004A13Rik 319830 No
1500009L16Rik 2.213107436201383 -0.13434208715805923 1.3802146054963027 -0.09733420195894246 0.922460995704247 NA 1500009L16Rik 69784 No
1500011B03Rik 42.48064830816179 -0.629943162639327 0.29530856097031305 -2.1331693215038703 0.032910838787513545 0.12619841085234548 1500011B03Rik 66236 No
1500012K07Rik 2.041656142672588 0.4823618096944505 1.4693791685558883 0.3282759276957204 0.7427030434940465 NA 1500012K07Rik 68954 No
1500015A07Rik 8.340449428336395 -0.6458286268791961 0.6588103779789763 -0.980295163018524 0.3269404416592899 0.5960901512697185 1500015A07Rik 68982 No
1500015L24Rik 0.4234594630025468 -1.966940512670324 3.1544289150565 -0.6235488469186485 0.5329239134050249 NA 1500015L24Rik 68994 No
1500026H17Rik 5.61297952968202 -0.8236941096732859 0.8357643556264382 -0.9855578359236137 0.3243501372246205 0.5934351286902854 1500026H17Rik 69002 No
1600002D24Rik 0.5943696682144791 0.16039007566851882 2.483623204361606 0.06457906955727034 0.9485091499901951 NA 1600002D24Rik 69776 No
1600010M07Rik 0 NA NA NA NA NA 1600010M07Rik 69781 No
1600012H06Rik 283.13389281463014 -0.30595441235928955 0.1212529385447184 -2.5232742070531575 0.011626770015877736 0.05533277465097543 1600012H06Rik 67912 No
1600012P17Rik 0 NA NA NA NA NA 1600012P17Rik 72025 No
1600014C10Rik 135.7340739112581 0.8616654041261832 0.17162453826926935 5.020642227594974 5.149900229663661e-7 6.943943768540546e-6 1600014C10Rik 72244 Yes
1600014C23Rik 0 NA NA NA NA NA 1600014C23Rik 72240 No
1600019K03Rik 0 NA NA NA NA NA 1600019K03Rik 69768 No
1600020E01Rik 35.67908464368555 -0.2405642612332328 0.313952960350517 -0.7662430096682369 0.44353172134528246 0.7070887595384615 1600020E01Rik 72012 No
1600023N17Rik 0.9312363076391813 -1.8513803138082463 2.142561863151823 -0.8640965498586664 0.3875348541525583 NA 1600023N17Rik 69788 No
1600025M17Rik 0 NA NA NA NA NA 1600025M17Rik 72030 No
1600027J07Rik 0 NA NA NA NA NA 1600027J07Rik 69794 No
1600029I14Rik 0 NA NA NA NA NA 1600029I14Rik 69797 No
1600029O15Rik 3.2638139421597114 -1.0006739624743026 1.1888361402052858 -0.8417257253817235 0.3999414951177554 0.6689456652418321 1600029O15Rik 665268 No
1700001C19Rik 0.9931863518339004 -1.0510212372693177 1.9441468501444434 -0.5406079469723342 0.58877783914979 NA 1700001C19Rik 75462 No
1700001D01Rik 0 NA NA NA NA NA 1700001D01Rik 69279 No
1700001F09Rik 0 NA NA NA NA NA 1700001F09Rik 71826 No
1700001G01Rik 0 NA NA NA NA NA 1700001G01Rik 75433 No
1700001G11Rik 3.756482173611483 -1.2331885306807626 1.0594331971492006 -1.164007824182889 0.24442084099912975 0.5055380479379762 1700001G11Rik 69303 No
1700001G17Rik 2.9886966254120084 -0.5554522361903537 1.107423828209764 -0.5015715050020958 0.6159689676843622 0.8302216965866601 1700001G17Rik 67503 No
1700001J03Rik 0.14108605819925216 -0.48611023337093734 4.080472856796901 -0.11913085821934011 0.9051716834987482 NA 1700001J03Rik 69282 No
1700001J11Rik 0.8981909044187629 -3.035812073343233 2.230913529614118 -1.3607932504082032 0.17357903551749262 NA 1700001J11Rik 72224 No
1700001K19Rik 0.23943190451768978 -1.1841838513227227 3.951984394431688 -0.2996428460069902 0.7644495985740094 NA 1700001K19Rik 66323 No
1700001K23Rik 0.43045237610012627 -0.4283888021730466 2.7752905274145774 -0.15435818266281756 0.8773273238290777 NA 1700001K23Rik 69319 No
1700001L05Rik 8.910951652695235 -0.5735657930117484 0.6826794758240383 -0.8401685026775081 0.4008139158418017 0.6695151841897997 1700001L05Rik 69291 No
1700001L19Rik 0.6669357277686159 0.20052850627131918 2.3978034719575834 0.08363008420686217 0.9333505469778703 NA 1700001L19Rik 69315 No
1700001O22Rik 4.8157226498095955 -0.7072970738095526 0.8714011279134741 -0.8116779415963572 0.41697645480471923 0.6837390692669723 1700001O22Rik 73598 No
1700001P01Rik 0.7169910812605761 -2.756400693226156 2.6061157956265655 -1.0576662394862846 0.290207631971656 NA 1700001P01Rik 72215 No
1700003C15Rik 0 NA NA NA NA NA 1700003C15Rik 69345 No
1700003D09Rik 0 NA NA NA NA NA 1700003D09Rik 69338 No
1700003E16Rik 39.17402824297092 -0.02553576714482968 0.3010376288662851 -0.08482583137861532 0.9323998570783304 0.9774464521151707 1700003E16Rik 71837 No
1700003E24Rik 0 NA NA NA NA NA 1700003E24Rik 100042663 No
1700003F12Rik 1.0003581780916775 -0.8850748214245759 1.8629120757557476 -0.47510284191244945 0.6347136729826892 NA 1700003F12Rik 75480 No
1700003G18Rik 0 NA NA NA NA NA 1700003G18Rik 69350 No
1700003H04Rik 0 NA NA NA NA NA 1700003H04Rik 384775 No
1700003I22Rik 0 NA NA NA NA NA 1700003I22Rik 69356 No
1700003L19Rik 0 NA NA NA NA NA 1700003L19Rik 75493 No
1700003M07Rik 6.916717301340393 -0.021832148533987888 0.782436525090771 -0.027902772728375793 0.9777396969883639 0.9931244912738466 1700003M07Rik 72225 No
1700003P14Rik 0 NA NA NA NA NA 1700003P14Rik 75890 No
1700006A11Rik 0 NA NA NA NA NA 1700006A11Rik 71824 No
1700006F04Rik 0 NA NA NA NA NA 1700006F04Rik 75432 No
1700006H21Rik 0 NA NA NA NA NA 1700006H21Rik 72257 No
1700007F19Rik 0 NA NA NA NA NA 1700007F19Rik 67850 No
1700007J10Rik 4.6664257053751985 -0.3047276586293651 0.9381509322631709 -0.32481730620279614 0.745319345709732 0.8920620830809276 1700007J10Rik 69320 No
1700007K13Rik 4.230336666666365 1.733509015619963 0.9609672155775946 1.8039210781795798 0.07124368011162348 0.22625356393992468 1700007K13Rik 69327 No
1700007L15Rik 4.05486421090573 0.9649258429463028 0.9525189703137572 1.013025328648792 0.31104806284089426 0.5793620065317077 1700007L15Rik 100502742 No
1700007P06Rik 1.3270549805708318 1.1118439786744565 1.6033607587300849 0.6934459214001683 0.48802975227596507 NA 1700007P06Rik 69308 No
1700008C04Rik 0.5695079600995259 -2.3908231230045445 2.435986273594358 -0.9814600143361341 0.32636594346354675 NA 1700008C04Rik 75494 No
1700008J07Rik 15.95357685235993 -0.2618231335102616 0.485655598557507 -0.539112766923573 0.5898090468216939 0.8133338822226988 1700008J07Rik 629159 No
